# T [MeV]          muB [MeV]        muQ [MeV]
      4.36956522e-01      1.63867450e+03     -4.10592220e-06
      4.36956522e-01      1.63867450e+03     -4.42932416e-06
      4.36956522e-01      1.63867450e+03     -4.77819879e-06
      4.36956522e-01      1.63867450e+03     -5.15455245e-06
      4.36956522e-01      1.63867450e+03     -5.56054952e-06
      4.36956522e-01      1.63867450e+03     -5.99852485e-06
      4.36956522e-01      1.63867450e+03     -6.47099719e-06
      4.36956522e-01      1.63867450e+03     -6.98068371e-06
      4.36956522e-01      1.63867450e+03     -7.53051556e-06
      4.36956522e-01      1.63867450e+03     -8.12365478e-06
      4.36956522e-01      1.63867450e+03     -8.76351246e-06
      4.36956522e-01      1.63867450e+03     -9.45376838e-06
      4.36956522e-01      1.63867450e+03     -1.01983921e-05
      4.36956522e-01      1.63867450e+03     -1.10016660e-05
      4.36956522e-01      1.63867450e+03     -1.18682095e-05
      4.36956522e-01      1.63867450e+03     -1.28030062e-05
      4.36956522e-01      1.63867450e+03     -1.38114318e-05
      4.36956522e-01      1.63867450e+03     -1.48992859e-05
      4.36956522e-01      1.63867450e+03     -1.60728245e-05
      4.36956522e-01      1.63867450e+03     -1.73387966e-05
      4.36956522e-01      1.63867450e+03     -1.87044827e-05
      4.36956522e-01      1.63867450e+03     -2.01777367e-05
      4.36956522e-01      1.63867450e+03     -2.17670312e-05
      4.36956522e-01      1.63867450e+03     -2.34815061e-05
      4.36956522e-01      1.63867450e+03     -2.53310212e-05
      4.36956522e-01      1.63867450e+03     -2.73262129e-05
      4.36956522e-01      1.63867450e+03     -2.94785554e-05
      4.36956522e-01      1.63867450e+03     -3.18004266e-05
      4.36956522e-01      1.63867450e+03     -3.43051795e-05
      4.36956522e-01      1.63867450e+03     -3.70072186e-05
      4.36956522e-01      1.63867450e+03     -3.99220831e-05
      4.36956522e-01      1.63867450e+03     -4.30665363e-05
      4.36956522e-01      1.63867450e+03     -4.64586615e-05
      4.36956522e-01      1.63867450e+03     -5.01179666e-05
      4.36956522e-01      1.63867450e+03     -5.40654960e-05
      4.36956522e-01      1.63867450e+03     -5.83239516e-05
      4.36956522e-01      1.63867450e+03     -6.29178234e-05
      4.36956522e-01      1.63867450e+03     -6.78735304e-05
      4.36956522e-01      1.63867450e+03     -7.32195725e-05
      4.36956522e-01      1.63867450e+03     -7.89866943e-05
      4.36956522e-01      1.63867450e+03     -8.52080620e-05
      4.36956522e-01      1.63867450e+03     -9.19194542e-05
      4.36956522e-01      1.63867450e+03     -9.91594675e-05
      4.36956522e-01      1.63867450e+03     -1.06969739e-04
      4.36956522e-01      1.63867450e+03     -1.15395184e-04
      4.36956522e-01      1.63867450e+03     -1.24484258e-04
      4.36956522e-01      1.63867450e+03     -1.34289230e-04
      4.36956522e-01      1.63867450e+03     -1.44866488e-04
      4.36956522e-01      1.63867450e+03     -1.56276862e-04
      4.36956522e-01      1.63867450e+03     -1.68585971e-04
      4.36956522e-01      1.63867450e+03     -1.81864604e-04
      4.36956522e-01      1.63867450e+03     -1.96189125e-04
      4.36956522e-01      1.63867450e+03     -2.11641913e-04
      4.36956522e-01      1.63867450e+03     -2.28311837e-04
      4.36956522e-01      1.63867450e+03     -2.46294763e-04
      4.36956522e-01      1.63867450e+03     -2.65694110e-04
      4.36956522e-01      1.63867450e+03     -2.86621442e-04
      4.36956522e-01      1.63867450e+03     -3.09197110e-04
      4.36956522e-01      1.63867450e+03     -3.33550945e-04
      4.36956522e-01      1.63867450e+03     -3.59823003e-04
      4.36956522e-01      1.63867450e+03     -3.88164374e-04
      4.36956522e-01      1.63867450e+03     -4.18738047e-04
      4.36956522e-01      1.63867450e+03     -4.51719847e-04
      4.36956522e-01      1.63867450e+03     -4.87299450e-04
      4.36956522e-01      1.63867450e+03     -5.25681472e-04
      4.36956522e-01      1.63867450e+03     -5.67086645e-04
      4.36956522e-01      1.63867450e+03     -6.11753087e-04
      4.36956522e-01      1.63867450e+03     -6.59937669e-04
      4.36956522e-01      1.63867450e+03     -7.11917499e-04
      4.36956522e-01      1.63867450e+03     -7.67991507e-04
      4.36956522e-01      1.63867450e+03     -8.28482170e-04
      4.36956522e-01      1.63867450e+03     -8.93737366e-04
      4.36956522e-01      1.63867450e+03     -9.64132372e-04
      4.36956522e-01      1.63867450e+03     -1.04007202e-03
      4.36956522e-01      1.63867450e+03     -1.12199304e-03
      4.36956522e-01      1.63867450e+03     -1.21036655e-03
      4.36956522e-01      1.63867450e+03     -1.30570078e-03
      4.36956522e-01      1.63867450e+03     -1.40854398e-03
      4.36956522e-01      1.63867450e+03     -1.51948760e-03
      4.36956522e-01      1.63867450e+03     -1.63916967e-03
      4.36956522e-01      1.63867450e+03     -1.76827847e-03
      4.36956522e-01      1.63867450e+03     -1.90755649e-03
      4.36956522e-01      1.63867450e+03     -2.05780472e-03
      4.36956522e-01      1.63867450e+03     -2.21988720e-03
      4.36956522e-01      1.63867450e+03     -2.39473608e-03
      4.36956522e-01      1.63867450e+03     -2.58335688e-03
      4.36956522e-01      1.63867450e+03     -2.78683435e-03
      4.36956522e-01      1.63867450e+03     -3.00633868e-03
      4.36956522e-01      1.63867450e+03     -3.24313221e-03
      4.36956522e-01      1.63867450e+03     -3.49857673e-03
      4.36956522e-01      1.63867450e+03     -3.77414127e-03
      4.36956522e-01      1.63867450e+03     -4.07141059e-03
      4.36956522e-01      1.63867450e+03     -4.39209425e-03
      4.36956522e-01      1.63867450e+03     -4.73803648e-03
      4.36956522e-01      1.63867450e+03     -5.11122677e-03
      4.36956522e-01      1.63867450e+03     -5.51381130e-03
      4.36956522e-01      1.63867450e+03     -5.94810530e-03
      4.36956522e-01      1.63867450e+03     -6.41660636e-03
      4.36956522e-01      1.63867450e+03     -6.92200879e-03
      4.36956522e-01      1.63867450e+03     -7.46721913e-03
      4.36956522e-01      1.63867450e+03     -8.05537282e-03
      4.36956522e-01      1.63867450e+03     -8.68985230e-03
      4.36956522e-01      1.63867450e+03     -9.37430639e-03
      4.36956522e-01      1.63867450e+03     -1.01126713e-02
      4.36956522e-01      1.63867450e+03     -1.09091934e-02
      4.36956522e-01      1.63867450e+03     -1.17684534e-02
      4.36956522e-01      1.63867450e+03     -1.26953928e-02
      4.36956522e-01      1.63867450e+03     -1.36953423e-02
      4.36956522e-01      1.63867450e+03     -1.47740526e-02
      4.36956522e-01      1.63867450e+03     -1.59377272e-02
      4.36956522e-01      1.63867450e+03     -1.71930584e-02
      4.36956522e-01      1.63867450e+03     -1.85472654e-02
      4.36956522e-01      1.63867450e+03     -2.00081363e-02
      4.36956522e-01      1.63867450e+03     -2.15840723e-02
      4.36956522e-01      1.63867450e+03     -2.32841364e-02
      4.36956522e-01      1.63867450e+03     -2.51181058e-02
      4.36956522e-01      1.63867450e+03     -2.70965272e-02
      4.36956522e-01      1.63867450e+03     -2.92307786e-02
      4.36956522e-01      1.63867450e+03     -3.15331337e-02
      4.36956522e-01      1.63867450e+03     -3.40168333e-02
      4.36956522e-01      1.63867450e+03     -3.66961609e-02
