# T  muB  muS  muQ  dnB
  8.000000e+01   8.885000e+02   0.000000e+00  -6.300000e+01   6.645883e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.200000e+01   6.666619e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.100000e+01   6.684821e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -6.000000e+01   6.703497e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.900000e+01   6.722647e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.800000e+01   6.742267e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.700000e+01   6.762357e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.600000e+01   6.782915e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.500000e+01   6.802667e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.400000e+01   6.821987e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.300000e+01   6.841745e-01
  8.000000e+01   8.885000e+02   0.000000e+00  -5.200000e+01   6.861939e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -5.100000e+01   6.677788e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -5.000000e+01   6.698613e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.900000e+01   6.719868e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.800000e+01   6.741551e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.700000e+01   6.763224e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.600000e+01   6.784548e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.500000e+01   6.806298e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.400000e+01   6.828473e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.300000e+01   6.851072e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.200000e+01   6.874094e-01
  8.000000e+01   8.875000e+02   0.000000e+00  -4.100000e+01   6.897535e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -4.000000e+01   6.716639e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.900000e+01   6.740693e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.800000e+01   6.765164e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.700000e+01   6.790047e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.600000e+01   6.815341e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.500000e+01   6.841045e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.400000e+01   6.866893e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.300000e+01   6.892824e-01
  8.000000e+01   8.865000e+02   0.000000e+00  -3.200000e+01   6.919173e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -3.100000e+01   6.742017e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -3.000000e+01   6.768981e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.900000e+01   6.796357e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.800000e+01   6.824144e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.700000e+01   6.852340e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.600000e+01   6.880942e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.500000e+01   6.909950e-01
  8.000000e+01   8.855000e+02   0.000000e+00  -2.400000e+01   6.939361e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -2.300000e+01   6.766752e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -2.200000e+01   6.796751e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -2.100000e+01   6.827148e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -2.000000e+01   6.857939e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.900000e+01   6.889124e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.800000e+01   6.920700e-01
  8.000000e+01   8.845000e+02   0.000000e+00  -1.700000e+01   6.952665e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.600000e+01   6.784280e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.500000e+01   6.816808e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.400000e+01   6.849718e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.300000e+01   6.883008e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.200000e+01   6.916677e-01
  8.000000e+01   8.835000e+02   0.000000e+00  -1.100000e+01   6.950721e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -1.000000e+01   6.786262e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -9.000000e+00   6.820845e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -8.000000e+00   6.855797e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -7.000000e+00   6.891116e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -6.000000e+00   6.926799e-01
  8.000000e+01   8.825000e+02   0.000000e+00  -5.000000e+00   6.962845e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -4.000000e+00   6.802196e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -3.000000e+00   6.838755e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -2.000000e+00   6.875669e-01
  8.000000e+01   8.815000e+02   0.000000e+00  -1.000000e+00   6.912935e-01
  8.000000e+01   8.815000e+02   0.000000e+00   0.000000e+00   6.950552e-01
  8.000000e+01   8.805000e+02   0.000000e+00   1.000000e+00   6.793453e-01
  8.000000e+01   8.805000e+02   0.000000e+00   2.000000e+00   6.831561e-01
  8.000000e+01   8.805000e+02   0.000000e+00   3.000000e+00   6.870012e-01
  8.000000e+01   8.805000e+02   0.000000e+00   4.000000e+00   6.908804e-01
  8.000000e+01   8.805000e+02   0.000000e+00   5.000000e+00   6.947933e-01
  8.000000e+01   8.795000e+02   0.000000e+00   6.000000e+00   6.794286e-01
  8.000000e+01   8.795000e+02   0.000000e+00   7.000000e+00   6.833886e-01
  8.000000e+01   8.795000e+02   0.000000e+00   8.000000e+00   6.873816e-01
  8.000000e+01   8.795000e+02   0.000000e+00   9.000000e+00   6.914074e-01
  8.000000e+01   8.795000e+02   0.000000e+00   1.000000e+01   6.954657e-01
  8.000000e+01   8.785000e+02   0.000000e+00   1.100000e+01   6.804363e-01
  8.000000e+01   8.785000e+02   0.000000e+00   1.200000e+01   6.845395e-01
  8.000000e+01   8.785000e+02   0.000000e+00   1.300000e+01   6.886744e-01
  8.000000e+01   8.785000e+02   0.000000e+00   1.400000e+01   6.928408e-01
  8.000000e+01   8.775000e+02   0.000000e+00   1.500000e+01   6.781254e-01
